"Status","Year","Ethnicity","Function_of_post","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","Asian","Analysis","Bath and North East Somerset, North Somerset and South Gloucestershire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Birmingham","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Bristol, City of","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Camden and City of London","25","25","[c]","[c]"
"In post","2021","Asian","Analysis","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Coventry","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Croydon","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Darlington","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Devon CC","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Dorset CC","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Durham CC","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East Kent","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","East Sussex CC","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Greater Manchester North West","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Hackney and Newham","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Inverness and Nairn and Moray, Badenoch and Strathspey","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Leeds","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Leicester","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Lincolnshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Liverpool","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Manchester","25","20","[c]","[c]"
"In post","2021","Asian","Analysis","Medway","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Monmouthshire and Newport","20","20","[c]","[c]"
"In post","2021","Asian","Analysis","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","North Yorkshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Norwich and East Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Nottingham","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Oxfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Peterborough","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Plymouth","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Sefton","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Sheffield","5","5","[c]","[c]"
"In post","2021","Asian","Analysis","Somerset","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","South and West Derbyshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","South Hampshire","10","10","[c]","[c]"
"In post","2021","Asian","Analysis","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Southampton","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Southend-on-Sea","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Suffolk","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Swansea","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Tower Hamlets","75","75","45300","42290"
"In post","2021","Asian","Analysis","Tyneside","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Wakefield","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","West Surrey","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","West Sussex (North East)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","West Sussex (South West)","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Westminster","215","215","44760","41760"
"In post","2021","Asian","Analysis","Wiltshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Wirral","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","Worcestershire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Analysis","York","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Aberdeen City and Aberdeenshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Antrim and Newtownabbey","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Armagh City, Banbridge and Craigavon","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Barnet","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Bath and North East Somerset, North Somerset and South Gloucestershire","15","15","[c]","[c]"
"In post","2021","Asian","Commercial","Bedford","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Berkshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Bexley and Greenwich","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Birmingham","10","10","[c]","[c]"
"In post","2021","Asian","Commercial","Blackpool","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Bournemouth and Poole","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Bradford","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Breckland and South Norfolk","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Bridgend and Neath Port Talbot","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Brighton and Hove","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Buckinghamshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Cambridgeshire CC","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Camden and City of London","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Central Hampshire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Chorley and West Lancashire","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2021","Asian","Commercial","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
